year,source,pronoun,frequency,,pronoun_prop
1764,The South Carolina Gazette,their,63.75227686703097,,Their
1765,The South Carolina Gazette,their,22.075055187637968,,Their
1766,The South Carolina Gazette,their,194.83938915218536,,Their
1766,The Virginia Gazette,their,46.28369180506398,,Their
1767,The South Carolina Gazette,their,156.25,,Their
1767,The Virginia Gazette,their,62.66786034019696,,Their
1768,The South Carolina Gazette,their,0,,Their
1768,The Virginia Gazette,their,89.03133903133903,,Their
1769,The South Carolina Gazette,their,68.82989184,,Their
1769,The Virginia Gazette,their,100.36496350364963,,Their
1770,The South Carolina Gazette,their,93.45794392523364,,Their
1770,The Virginia Gazette,their,66.66666666666667,,Their
1771,The South Carolina Gazette,their,131.7027281279398,,Their
1771,The Virginia Gazette,their,59.15568701263781,,Their
1772,The South Carolina Gazette,their,37.87878787878788,,Their
1772,The Virginia Gazette,their,201.72910662824208,,Their
1773,The South Carolina Gazette,their,57.63688760806916,,Their
1773,The Virginia Gazette,their,25.12562814070352,,Their
1774,The South Carolina Gazette,their,72.79947055,,Their
1774,The Virginia Gazette,their,96.89922480620154,,Their
1775,The South Carolina Gazette,their,0,,Their
1775,The Virginia Gazette,their,38.8852884,,Their
