Year of arrival at port of disembarkation,Voyage ID,Vessel name,,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1754,100320,Mary and Martha,,"Barbados, place unspecified",Charleston,,"Dill, Joseph",,1754-01-01,32.78096,-79.93554
1754,100321,Isaac,,"Barbados, place unspecified",Charleston,60,"McNeill, John",,1754-01-01,32.78096,-79.93554
1754,100322,Duchess [Duke] of Queensberry,,"Antigua, place unspecified",Charleston,,"McNeal, Hector",,1754-01-01,32.78096,-79.93554
1754,100323,Deborah,,New York,Charleston,,"Drumgoole (a) Drumgold, Alexander",,1754-01-01,32.78096,-79.93554
1754,100324,,,"Jamaica, place unspecified",Charleston,,Adams,,1754-01-01,32.78096,-79.93554
1754,100325,Prince of Wales,,"Barbados, place unspecified",Charleston,70,"Gordon, Robert",,1754-01-01,32.78096,-79.93554
1754,100326,,,"Antigua, place unspecified",Charleston,,Roberts,,1754-01-01,32.78096,-79.93554
1754,100327,Nancy,,"Barbados, place unspecified",Charleston,,"Copithorn, [John?]",,1754-01-01,32.78096,-79.93554
1755,100328,,,Philadelphia,Charleston,,Robeson,,1755-01-01,32.78096,-79.93554
1755,100329,,,Cape Fear,Charleston,,Tucker,,1755-01-01,32.78096,-79.93554
1755,100330,,,"Virginia, port unspecified",Charleston,,Legge,,1755-01-01,32.78096,-79.93554
1755,100331,Sally[?],,New York,Charleston,,"Schermerhorn, [John?]",,1755-01-01,32.78096,-79.93554
1755,100332,Providence,,"Barbados, place unspecified",Charleston,,"Nichols, William",,1755-01-01,32.78096,-79.93554
1755,100333,Polly,,"St. Kitts, port unspecified",Charleston,,"Boardman (a) Bondman, Isaac",,1755-01-01,32.78096,-79.93554
1755,100334,William,,"Barbados, place unspecified",Charleston,,"Kent, Ebenezer",,1755-01-01,32.78096,-79.93554
1755,100335,Endeavour,,"Georgia, port unspecified",Charleston,,"Cunningham (a) Coningham, David",,1755-01-01,32.78096,-79.93554
1755,100336,Dobb,,"Antigua, place unspecified",Charleston,,"Hall, Philip",,1755-01-01,32.78096,-79.93554
1755,100337,Olive Branch,,"Antigua, place unspecified",Charleston,50,"Hunt, Thomas",,1755-01-01,32.78096,-79.93554
1755,100338,,,"Antigua, place unspecified",Charleston,,Gordon,,1755-01-01,32.78096,-79.93554
1755,100339,Elizabeth[?],,New York,Charleston,,McGinray [Alexander McGillivray?],,1755-01-01,32.78096,-79.93554
1755,100340,George,,"Barbados, place unspecified",Charleston,48,"Gilchrist, James",,1755-01-01,32.78096,-79.93554
1755,100341,America,,"Barbados, place unspecified",Charleston,,"Jefferson, Benjamin",,1755-01-01,32.78096,-79.93554
1755,100342,Alexander,,Philadelphia,Charleston,,"Ford, John",,1755-01-01,32.78096,-79.93554
1755,100343,Margaret and Mary,,"Antigua, place unspecified",Charleston,,"Gordon, James",,1755-01-01,32.78096,-79.93554
1755,100344,Jacky and Peggy,,"Antigua, place unspecified",Charleston,,"Dunbar, James",,1755-01-01,32.78096,-79.93554
1755,100345,Gambia,,"Barbados, place unspecified",Charleston,13,"Dodson, Robert",,1755-01-01,32.78096,-79.93554
1755,100348,Africa,,"Antigua, place unspecified",Charleston,24,"Vining, William",,1755-01-01,32.78096,-79.93554
1755,100349,Dobb,,"Antigua, place unspecified",Charleston,,"Hall, Philip",,1755-01-01,32.78096,-79.93554
1755,100350,Endeavour,,Curaçao,Charleston,,"Seymour, James",,1755-01-01,32.78096,-79.93554
1755,100356,,,"Antigua, place unspecified",Charleston,,Pitt,,1755-01-01,32.78096,-79.93554
1755,100357,Tryall,,"Antigua, place unspecified",Charleston,,"Jones, Robert",,1755-01-01,32.78096,-79.93554
1755,100358,,,"Jamaica, place unspecified",Charleston,,Neale,,1755-01-01,32.78096,-79.93554
1755,100359,,,"Antigua, place unspecified",Charleston,,Gilbert,,1755-01-01,32.78096,-79.93554
1755,100360,,,St. Eustatius,Charleston,,Juder,,1755-01-01,32.78096,-79.93554
1755,100361,Schrives (a) Screven,,Curaçao,Charleston,,"Sikker (a) Sinclair, Daniel",,1755-01-01,32.78096,-79.93554
1755,107971,Nancy,,"Barbados, place unspecified",Charleston,9,"Copithorn, John",,1755-01-01,32.78096,-79.93554
1756,100346,Adventure,,"Antigua, place unspecified",Charleston,,"Druitt, Joseph",,1756-01-01,32.78096,-79.93554
1756,100347,Brislington,,"Antigua, place unspecified",Charleston,8,"Whitborn, John",,1756-01-01,32.78096,-79.93554
1756,100353,Relief,,"Barbados, place unspecified",Charleston,140,"Lightbourn, William",,1756-01-01,32.78096,-79.93554
1756,100354,,,Charleston,Georgetown,9,,,1756-01-01,0,0
1756,100355,Georgia Packet,,"Antigua, place unspecified",Charleston,,"Marshall, Alexander",,1756-01-01,32.78096,-79.93554
