Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1760,90338,Marques of Rockingham,Sierra Leone estuary,Liverpool,Rappahannock,200,"Evans, George",,1760-01-01,37.59826,-76.38813
1761,24838,Richardson,Saint-Louis,Whitehaven,"Virginia, port unspecified",,"Miller, Jos",,1761-01-01,37.2268,-76.45376
1761,90760,Alice,Loango,Liverpool,Rappahannock,122,"Murdock, Samuel",,1761-01-01,37.59826,-76.38813
1761,90783,Hare,Banana Islands,Liverpool,Rappahannock,258,"Colley, George",,1761-01-01,37.59826,-76.38813
1761,90822,Dove,"Senegambia and offshore Atlantic, port unspecified",Liverpool,Rappahannock,140,"Williams, Hugh",,1761-01-01,37.59826,-76.38813
1761,90856,Peggy,Iles de Los,Liverpool,Rappahannock,147,"Davies, Cuthbert",,1761-01-01,37.59826,-76.38813
1761,90873,Eadith,Bassa,Liverpool,York River,154,"Jordan, Thomas",,1761-01-01,37.2268,-76.45376
1761,90880,Bassa,"Windward Coast, place unspecified",Liverpool,Rappahannock,170,"Lowe, William",,1761-01-01,37.59826,-76.38813
1761,90888,William and Edward,"Windward Coast, place unspecified",Liverpool,Rappahannock,117,"Foster, William",,1761-01-01,37.59826,-76.38813
1761,90920,Nanny,Saint-Louis,Liverpool,Upper James River,110,"McDougal, James",,1761-01-01,37.5184,-77.42742
1761,17483,Greyhound,"Africa, port unspecified",Bristol,Upper James River,215,"Robe, Alexander",,1761-01-01,37.5184,-77.42742
1761,75563,Granby,Gorée,London,York River,37,"Furlong, William",,1761-01-01,37.2268,-76.45376
1762,21911,Agnes,Gambia,Greenock,"Virginia, port unspecified",118,"Duthie, Robert",,1762-01-01,37.2268,-76.45376
1762,36251,Little Betsey,"Africa, port unspecified","Rhode Island, port unspecified",York River,64,"Hicks, Benj",,1762-01-01,37.2268,-76.45376
1762,36255,Nancy,Cape Coast Castle,"Rhode Island, port unspecified","Virginia, port unspecified",170,"Rodman, William",,1762-01-01,37.2268,-76.45376
1762,90921,Nanny,Saint-Louis,Liverpool,"Virginia, port unspecified",103,"McDougal, James",,1762-01-01,37.2268,-76.45376
